run,Mt,Mp,Mlr,Rt,Rp,Vimp,Vesc,vve,b,QS,xi,gamma,Mt_ME,Mp_ME,Mlr_ME
simArray_Sun_JS_frag_2Gyr_Run003_step.mat,1.3646418133333333e+24,5.5738666666666665e+23,1.3646418133333333e+24,4770928.81530026,3539828.627758874,9397.747921006348,5556.1948214534395,1.6914000000000002,0.8155765120491979,381241.4457384107,0.0,0.4084490605671607,0.22850666666666666,0.09333333333333332,0.22850666666666666
simArray_Sun_JS_frag_2Gyr_Run003_step.mat,3.394544519999999e+24,1.3295264533333332e+24,3.3944848000000004e+24,6464335.4005887825,4729650.392146727,8424.251983748652,7505.570192220823,1.1224,0.9609892972260952,3349.52974333208,-4.4918248786370295e-05,0.39166564041214386,0.5684099999999999,0.22262666666666664,0.5684
simArray_Sun_JS_frag_2Gyr_Run003_step.mat,3.394544519999999e+24,1.3295264533333332e+24,4.4993048e+24,6464335.4005887825,4729650.392146727,7909.369868562303,7505.570192220823,1.0538,0.493805629504257,3197570.802819424,0.8309426843145481,0.39166564041214386,0.5684099999999999,0.22262666666666664,0.7534
simArray_Sun_JS_frag_2Gyr_Run003_step.mat,1.8812198133333334e+24,9.749489066666665e+23,1.8812198133333334e+24,5309780.399878054,4265048.72990184,11969.850032984865,6310.216686691372,1.8969000000000003,0.8860143643190199,185670.77317180278,0.0,0.5182535819347738,0.31500666666666666,0.1632533333333333,0.31500666666666666
simArray_Sun_JS_frag_2Gyr_Run003_step.mat,1.8812198133333334e+24,9.749489066666665e+23,1.8812198133333334e+24,5309780.399878054,4265048.72990184,6727.953031350341,6310.216686691372,1.0662,0.9376989977010897,10141.69352223089,0.0,0.5182535819347738,0.31500666666666666,0.1632533333333333,0.31500666666666666
simArray_Sun_JS_frag_2Gyr_Run003_step.mat,1.8812198133333334e+24,9.749489066666665e+23,1.8812198133333334e+24,5309780.399878054,4265048.72990184,6838.381823367441,6310.216686691372,1.0837,0.9083629772513955,32314.329327220315,0.0,0.5182535819347738,0.31500666666666666,0.1632533333333333,0.31500666666666666
simArray_Sun_JS_frag_2Gyr_Run003_step.mat,1.8812198133333334e+24,9.749489066666665e+23,2.5930424e+24,5309780.399878054,4265048.72990184,6758.24207144646,6310.216686691372,1.071,0.24971663532130853,5581822.618885454,0.7301127082652727,0.5182535819347738,0.31500666666666666,0.1632533333333333,0.4342
simArray_Sun_JS_frag_2Gyr_Run003_step.mat,1.8911333333333334e+24,1.4203804799999998e+24,3.311513813333333e+24,5319091.099920046,4835020.024486838,6997.14481082092,6597.967761264422,1.0605,0.5684670564377342,2576888.9584787115,1.0,0.7510736842105262,0.31666666666666665,0.23783999999999994,0.5545066666666666
simArray_Sun_JS_frag_2Gyr_Run003_step.mat,3.311513813333333e+24,7.356707733333333e+23,3.803964933333334e+24,6411193.758849372,3882914.9639993194,8977.93465626921,7244.359441837496,1.2393,0.275776822729428,5282104.047466856,0.6693906266912011,0.22215542945080313,0.5545066666666666,0.12318666666666667,0.6369666666666667
simArray_Sun_JS_frag_2Gyr_Run003_step.mat,3.94743228e+24,7.923251466666665e+23,4.506670266666667e+24,6797798.30640031,3980135.509935551,9296.005220084773,7661.753251532822,1.2133,0.3383152164124868,4655256.460148518,0.7058188030752229,0.20071912333519917,0.66099,0.1326733333333333,0.7546333333333334
simArray_Sun_JS_frag_2Gyr_Run004_step.mat,5.573866666666664e+23,5.573866666666664e+23,1.1147733333333328e+24,3539828.6277588736,3539828.6277588736,4579.136214418261,4584.637779753966,0.9987999999999999,0.44315,2153219.878462553,1.0,1.0,0.09333333333333328,0.09333333333333328,0.18666666666666656
simArray_Sun_JS_frag_2Gyr_Run004_step.mat,6.131253333333334e+23,5.5738666666666665e+23,6.131253333333334e+23,3654094.7045586845,3539828.627758874,5360.388361440758,4660.39676703248,1.1502,0.9937374294612571,9.887666033188905,0.0,0.9090909090909091,0.10266666666666667,0.09333333333333332,0.10266666666666667
simArray_Sun_JS_frag_2Gyr_Run004_step.mat,6.688639999999997e+23,6.131253333333331e+23,1.2819893333333326e+24,3761629.22472589,3654094.704558684,4838.369210266277,4803.781980010203,1.0072,0.6505486890713276,853876.0271063369,0.9999999999999998,0.9166666666666667,0.11199999999999995,0.10266666666666663,0.21466666666666653
simArray_Sun_JS_frag_2Gyr_Run004_step.mat,5.573866666666664e+23,5.573866666666664e+23,1.1147733333333328e+24,3539828.6277588736,3539828.6277588736,4592.431663979548,4584.637779753966,1.0017,0.73815,400533.43668266333,1.0,1.0,0.09333333333333328,0.09333333333333328,0.18666666666666656
simArray_Sun_JS_frag_2Gyr_Run004_step.mat,1.1147733333333333e+24,6.131253333333334e+23,1.1147733333333334e+24,4459904.601133889,3654094.7045586845,5740.026359649202,5331.623964006319,1.0766,0.9557410382092316,2797.2393020972495,2.1890749036629812e-16,0.55,0.18666666666666665,0.10266666666666667,0.18666666666666668
